event_name_id,event_name
1,South Africa in Australia Test Series
2,Pakistan in Australia Test Series
3,Pakistan in Australia ODI Series
4,Sri Lanka in Australia T20I Series
5,Chappell-Hadlee Trophy
6,Cricket Ireland Inter-Provincial Limited Over Cup
7,Cricket Ireland Inter-Provincial Twenty20 Trophy
8,CSA T20 Challenge
9,ICC Intercontinental Cup
10,ICC World Cricket League Championship
11,Hong Kong in Scotland ODI Series
12,Hong Kong in Ireland T20I Series
13,India in Zimbabwe ODI Series
14,India in Zimbabwe T20I Series
15,Caribbean Premier League
16,Bangladesh in New Zealand ODI Series
17,Bangladesh in New Zealand T20I Series
18,Bangladesh in New Zealand Test Series
19,Pakistan in New Zealand Test Series
20,South Africa in New Zealand ODI Series
21,South Africa in New Zealand Test Series
22,ICC Champions Trophy
23,India in West Indies Test Series
24,Big Bash League
25,Women's Big Bash League
26,New Zealand in Zimbabwe Test Series
27,Papua New Guinea in Hong Kong ODI Series
28,England in West Indies ODI Series
29,Ireland in England ODI Series
30,England in Bangladesh ODI Series
31,England in Bangladesh Test Series
32,New Zealand in India Test Series
33,New Zealand in India ODI Series
34,South Africa in England ODI Series
35,South Africa in England T20I Series
36,Basil D'Oliveira Trophy
37,South Africa tour of England
38,West Indies tour of England
39,Ireland Tri-Nation Series
40,ICC Women's World Cup Qualifying Series Europe Region
41,England in India Test Series
42,England in India ODI Series
43,England in India T20I Series
44,Women's Cricket Super League
45,Sheffield Shield
46,South Africa Women in Bangladesh ODI Series
47,West Indies v India T20I Series
48,ICC Women's Championship
49,South Africa Women in Australia ODI Series
50,New Zealand Women in Australia T20I Series
51,Australia Women in Sri Lanka ODI Series
52,ICC World Cricket League Europe Region Division Two Twenty20
53,Saudari Cup
54,Pakistan v West Indies T20I Series
55,Pakistan v West Indies ODI Series
56,Pakistan v West Indies Test Series
57,Pakistan Women in New Zealand ODI Series
58,Rose Bowl
59,Plunket Shield
60,Kenya T20 Quadrangular Series
61,Sri Lanka in Zimbabwe Test Series
62,Zimbabwe Tri-Nation Series
63,ICC World Cricket League Division Four
64,Australia in India Test Series
65,Border-Gavaskar Trophy
66,England Women in Sri Lanka ODI Series
67,Bangladesh Premier League
68,East Asia Cup
69,Asian Cricket Council Women's Twenty20 Asia Cup
70,NatWest T20 Blast
71,Royal London One-Day Cup
72,Specsavers County Championship
73,England tour of Australia and New Zealand
74,Trans-Tasman Twenty20 Trophy
75,ICC Women's World Cup Qualifier
76,Desert T20 Challenge
77,Bangladesh tour of South Africa
78,Australia tour of South Africa
79,Pakistan Super League
80,Pakistan in West Indies T20I Series
81,Pakistan in West Indies ODI Series
82,Pakistan in West Indies Test Series
83,United Arab Emirates Tri-Nation Series
84,Ireland in United Arab Emirates ODI Series
85,ICC World Cricket League East Asia-Pacific Region Qualifiers
86,Indian Premier League
87,Bangladesh in Sri Lanka Test Series
88,Bangladesh in Sri Lanka ODI Series
89,Bangladesh in Sri Lanka T20I Series
90,ICC Women's World Cup
91,Women's Ashes
92,England Women tour of Australia
93,ICC World Cricket League Africa Region Qualifiers
94,Papua New Guinea in United Arab Emirates ODI Series
95,Papua New Guinea in United Arab Emirates T20I Series
96,Zimbabwe in Scotland ODI Series
97,ICC World Cricket League Asia Region Division One
98,Women's Quadrangular Series (in South Africa)
99,ICC Women's World Twenty20 Qualifying Series East Asia-Pacific Region
100,ICC World Cricket League Division Three
101,India in West Indies ODI Series
102,ICC World Cricket League Europe Region Division One
103,Australia tour of Bangladesh
104,Zimbabwe in Sri Lanka ODI Series
105,Zimbabwe tour of Sri Lanka
106,India tour of Sri Lanka
107,West Indies tour of New Zealand
108,Pakistan tour of New Zealand
109,ICC Women's World Twenty20 Qualifying Series European-Americas Region
110,Independence Cup
111,ICC World Cricket League Division Five
112,Super Smash
113,ICC Women's World Twenty20 Qualifying Series Africa Region
114,Australia tour of India
115,"Pakistan tour of Ireland, England and Scotland"
116,Australia tour of England
117,India tour of Ireland and England
118,New Zealand tour of India
119,Sri Lanka tour of United Arab Emirates and Pakistan
120,Pakistan tour of United Arab Emirates
121,ICC Women's World Twenty20 Qualifying Series Asia Region
122,India tour of South Africa
123,Zimbabwe tour of South Africa
124,Sri Lanka tour of India
125,West Indies tour of Zimbabwe
126,Sri Lanka Women tour of West Indies
127,New Zealand Women tour of United Arab Emirates
128,India Women tour of South Africa
129,Ram Slam T20 Challenge
130,England Tri-Nation T20 Women's Series
131,Vitality Blast
132,Syed Mushtaq Ali Trophy
133,Tri-Nation Tournament in Bangladesh
134,Sri Lanka tour of Bangladesh
135,India Tri-Nation Women's T20 Series
136,England Women tour of India
137,ICC Cricket World Cup Qualifier
138,ICC Cricket World Cup Qualifier (ICC Trophy)
139,Nidahas Trophy
140,ICC World Cricket League Division Two
141,Sri Lanka tour of West Indies
142,West Indies Women tour of New Zealand
143,Pakistan Women tour of Sri Lanka
144,West Indies tour of Pakistan
145,England tour of Sri Lanka
146,ICC World XI tour of England
147,Marylebone Cricket Club Tri-Nation T20 Series
148,ICC World Twenty20 Asia Region Qualifier A
149,Netherlands Tri-Nation T20I Series
150,South Africa tour of Sri Lanka
151,Zimbabwe Twenty20 Tri-Series
152,Pakistan tour of Zimbabwe
153,ICC World Twenty20 Africa Region Qualifier A
154,Pakistan tour of South Africa
155,Sri Lanka tour of South Africa
156,Bangladesh Women tour of South Africa
157,World Cup
158,New Zealand Women tour of Australia
159,South Africa tour of Australia
160,India tour of Australia
161,Sri Lanka tour of Australia
162,New Zealand Women tour of Ireland and England
163,Bangladesh Women tour of Ireland
164,Bangladesh tour of West Indies and United States of America
165,Women's T20 Challenge Match
166,ICC Women's T20 Qualifier
167,Women's Twenty20 Asia Cup
168,ICC Women's T20 World Cup
169,ICC World Twenty20 Africa Region Qualifier B
170,Ireland tour of England
171,Pakistan tour of England
172,The Ashes
173,Asia Cup
174,West Indies tour of Bangladesh
175,Zimbabwe tour of Bangladesh
176,India tour of New Zealand
177,Sri Lanka tour of New Zealand
178,Bangladesh tour of New Zealand
179,India in New Zealand ODI Series
180,India Women tour of New Zealand
181,Asia Cup Qualifiers
182,ICC World Twenty20 East Asia-Pacific Region Qualifier A
183,ICC World Twenty20 Europe Region Qualifier A
184,South Africa Women tour of West Indies
185,ICC World Twenty20 Europe Region Qualifier B
186,ICC World Twenty20 Europe Region Qualifier C
187,Australia tour of United Arab Emirates
188,New Zealand tour of United Arab Emirates
189,ICC World Twenty20 Americas Sub Regional Qualifier A
190,India Women tour of Sri Lanka
191,West Indies tour of India
192,England tour of West Indies
193,Botswana Cricket Association Women's T20I Series
194,ICC World Twenty20 Asia Region Qualifier B
195,England tour of Ireland
196,Australia Women v Pakistan Women T20I Series
197,Mzansi Super League
198,ICC World Twenty20 Africa Region Qualifier C
199,ICC World Twenty20 East Asia-Pacific Region Qualifier B
200,West Indies Women tour of England and Ireland
201,Australia Women tour of England
202,Sri Lanka Women tour of South Africa
203,Sri Lanka in South Africa ODI Series
204,Zimbabwe tour of Netherlands and Ireland
205,Ireland v Zimbabwe
206,Sri Lanka tour of England and Scotland
207,Nepal tour of United Arab Emirates
208,Pakistan vs West Indies ODI Series
209,West Indies Women tour of Pakistan and United Arab Emirates
210,Oman Quadrangular T20I Series
211,ICC Women's T20 World Cup Asia Region Qualifier
212,England Women tour of Sri Lanka
213,ICC World Twenty20 East Asia-Pacific Region Final
214,Pakistan Women tour of South Africa
215,United States of America tour of United Arab Emirates
216,Germany tour of Netherlands
217,Botswana Women tour of Namibia
218,United Arab Emirates tour of Zimbabwe
219,Women's T20 Challenge
220,ICC Women's T20 World Cup Africa Region Qualifier
221,ICC Women's T20 World Cup East Asia-Pacific Region Qualifier
222,Sri Lanka Women tour of Australia
223,Pakistan tour of Australia
224,Trans-Tasman Trophy
225,New Zealand tour of Australia
226,Australia Tri-Nation Women's T20 Series
227,ICC Women's T20 World Cup Americas Region Qualifier
228,ICC Men's T20 World Cup Africa Region Final
229,ICC Men's T20 World Cup Europe Region Final
230,England tour of South Africa
231,Malaysia Tri-Nation T20I Series
232,South Africa tour of India
233,South Africa in India Test Series
234,Bangladesh tour of India
235,Bangladesh in India Test Series
236,England tour of New Zealand
237,England in New Zealand Test Series
238,India in New Zealand Test Series
239,South Africa Women in New Zealand ODI Series
240,South Africa Women tour of New Zealand
241,India tour of United States of America and West Indies
242,Kwibuka Women's Twenty20 Tournament
243,ICC Women's T20 World Cup Europe Region Qualifier
244,Women's T20I Quadrangular Series (in Netherlands)
245,ICC Men's T20 World Cup Asia Region Final
246,United Arab Emirates tour of Netherlands
247,Nepal tour of Malaysia
248,New Zealand in Sri Lanka Test Series
249,New Zealand tour of Sri Lanka
250,Bangladesh tour of Sri Lanka
251,Nigeria Women tour of Rwanda
252,Marsh Sheffield Shield
253,ICC Men's Cricket World Cup League 2
254,ICC Women's T20 World Cup Qualifier
255,Bangladesh Twenty20 Tri-Series
256,Women's Twenty20 East Asia Cup
257,ICC Men's T20 World Cup Americas Region Final
258,Botswana tour of Namibia
259,Oman Pentangular T20I Series
260,New Zealand Cricket Women's Twenty20
261,Australia Women tour of West Indies
262,South Africa Women tour of India
263,Sri Lanka tour of Pakistan
264,ICC Men's T20 World Cup Qualifier
265,Ireland Tri-Nation T20I Series
266,CWC Challenge League
267,Iberia Cup
268,Singapore Twenty20 Tri-Series
269,Vanuatu tour of Malaysia
270,India Women in West Indies
271,India Women tour of West Indies
272,Ireland tour of West Indies
273,Bangladesh Women tour of Pakistan
274,Sri Lanka in Pakistan Test Series
275,Germany tour of Spain
276,England Women ODI tour of Malaysia
277,England Women tour of Malaysia
278,South Asian Games Men's Cricket Competition
279,South Asian Games Women's Cricket Competition
280,Sri Lanka tour of Zimbabwe
281,Bangladesh tour of Pakistan
282,Bangladesh in Pakistan Test Series
283,West Indies tour of Sri Lanka
284,Germany Women tour of Oman
285,Hong Kong tour of Malaysia
286,ACC Western Region T20
287,ACC Eastern Region T20
288,Bob Willis Trophy
289,Germany Women tour of Austria
290,Rachael Heyhoe Flint Trophy
291,Luxembourg Twenty20 Tri-Series
292,Isle of Man tour of Guernsey
293,West Indies Women tour of England
294,Zimbabwe tour of Pakistan
295,Australia tour of New Zealand
296,Balkan Cup
297,Lanka Premier League
298,Sri Lanka tour of England
299,India tour of England
300,South Africa tour of Pakistan
