venue_id,venue
1,Western Australia Cricket Association Ground
2,Bellerive Oval
3,Adelaide Oval
4,"Brisbane Cricket Ground, Woolloongabba"
5,Melbourne Cricket Ground
6,Sydney Cricket Ground
7,"Simonds Stadium, South Geelong"
8,Manuka Oval
9,"Civil Service Cricket Club, Stormont, Belfast"
10,New Strabane Park
11,"The Vineyard, Dublin"
12,"Observatory Lane, Rathmines, Dublin"
13,"The Lawn, Waringstown"
14,"The Green, Comber"
15,"New Wanderers Stadium, Johannesburg"
16,"Kingsmead, Durban"
17,"Boland Park, Paarl"
18,"Willowmoore Park, Benoni"
19,"Mangaung Oval, Bloemfontein"
20,"Senwes Park, Potchefstroom"
21,"St George's Park, Port Elizabeth"
22,"SuperSport Park, Centurion"
23,"Diamond Oval, Kimberley"
24,"Newlands, Cape Town"
25,"Buffalo Park, East London"
26,Amini Park
27,VRA Ground
28,Gymkhana Club Ground
29,"Grange Cricket Club Ground, Raeburn Place"
30,"Bready Cricket Club, Magheramason"
31,Harare Sports Club
32,"Daren Sammy National Cricket Stadium, Gros Islet"
33,Providence Stadium
34,"Kensington Oval, Bridgetown"
35,"Sabina Park, Kingston"
36,Hagley Oval
37,Saxton Oval
38,McLean Park
39,Bay Oval
40,Basin Reserve
41,Seddon Park
42,Eden Park
43,Westpac Stadium
44,University Oval
45,Kennington Oval
46,Edgbaston
47,Sophia Gardens
48,"Sir Vivian Richards Stadium, North Sound"
49,"Darren Sammy National Cricket Stadium, Gros Islet"
50,"Queen's Park Oval, Port of Spain"
51,Sydney Showground Stadium
52,Docklands Stadium
53,North Sydney Oval
54,North Sydney Oval No.2
55,Lavington Sports Oval
56,Queen Elizabeth II Oval
57,Casey Fields No. 4
58,Howell Oval
59,W.A.C.A. Ground
60,Allan Border Field
61,Hurstville Oval
62,Blacktown International Sportspark
63,Camberwell Sports Ground
64,Queens Sports Club
65,"Warner Park, Basseterre"
66,"Mission Road Ground, Mong Kok"
67,County Ground
68,Lord's
69,Shere Bangla National Stadium
70,Zahur Ahmed Chowdhury Stadium
71,Green Park
72,Eden Gardens
73,Holkar Cricket Stadium
74,Himachal Pradesh Cricket Association Stadium
75,Feroz Shah Kotla
76,"Punjab Cricket Association Stadium, Mohali"
77,JSCA International Stadium Complex
78,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
79,Headingley
80,The Rose Bowl
81,Trent Bridge
82,Old Trafford
83,Riverside Ground
84,Malahide
85,Clontarf Cricket Club Ground
86,Garon Park
87,Saurashtra Cricket Association Stadium
88,"Punjab Cricket Association IS Bindra Stadium, Mohali"
89,Wankhede Stadium
90,"MA Chidambaram Stadium, Chepauk"
91,Maharashtra Cricket Association Stadium
92,Barabati Stadium
93,"Vidarbha Cricket Association Stadium, Jamtha"
94,M Chinnaswamy Stadium
95,"County Ground, Chelmsford"
96,"Traeger Park, Alice Springs"
97,Sheikh Kamal International Cricket Stadium
98,Central Broward Regional Park Stadium Turf Ground
99,"Rajiv Gandhi International Stadium, Uppal"
100,International Sports Stadium
101,Rangiri Dambulla International Stadium
102,Khettarama Stadium
103,Sinhalese Sports Club Ground
104,Skarpnack 1
105,Skarpnack 2
106,Johor Cricket Academy Oval
107,Dubai International Cricket Stadium
108,Sheikh Zayed Stadium
109,Sharjah Cricket Stadium
110,Bert Sutcliffe Oval
111,Eden Park No 2
112,Cello Basin Reserve
113,Kennards Hire Community Oval
114,University of Otago Oval
115,Nelson Park
116,Mainpower Oval
117,Colin Maiden Park
118,Cobham Oval
119,Jaffery Sports Club Ground
120,R Premadasa Stadium
121,"Wright Cricket Field, Woodley Park"
122,"Severn Cricket Field, Woodley Park"
123,"Wong Cricket Field, Woodley Park"
124,"Shere Bangla National Stadium, Mirpur"
125,"Zahur Ahmed Chowdhury Stadium, Chittagong"
126,Sano International Cricket Ground
127,Aurora Stadium
128,Lilac Hill Park
129,Asian Institute of Technology Ground
130,College Ground
131,"County Ground, New Road"
132,Queen's Park
133,Arundel Castle Cricket Club Ground
134,Aigburth
135,The Kent County Cricket Ground
136,Uxbridge Cricket Club Ground
137,St Lawrence Ground
138,Old Deer Park
139,Grace Road
140,The Cooper Associates County Ground
141,"County Ground, Northampton"
142,"Lord's, London"
143,"County Ground, New Road, Worcester"
144,"County Ground, Bristol"
145,"St Lawrence Ground, Canterbury"
146,"Riverside Ground, Chester-le-Street"
147,"Old Trafford, Manchester"
148,"County Ground, Taunton"
149,"Trent Bridge, Nottingham"
150,"County Ground, Derby"
151,"Sophia Gardens, Cardiff"
152,"Grace Road, Leicester"
153,"County Ground, Hove"
154,"Edgbaston, Birmingham"
155,"Headingley, Leeds"
156,"Kennington Oval, London"
157,"The Rose Bowl, Southampton"
158,"Roseworth Terrace, Gosforth"
159,"Aigburth, Liverpool"
160,"Welbeck Colliery Cricket Club Ground, Market Warsop"
161,"Radlett Cricket Club, Radlett"
162,"Stanley Park, Blackpool"
163,"The Saffrons, Eastbourne"
164,"St Helen's, Swansea"
165,"Trafalgar Road Ground, Southport"
166,"Woodbridge Road, Guildford"
167,"North Marine Road Ground, Scarborough"
168,"Queen's Park, Chesterfield"
169,"College Ground, Cheltenham"
170,"Kent County Cricket Ground, Beckenham"
171,"Penrhyn Avenue, Rhos-on-Sea, Colwyn Bay"
172,Tribhuvan University International Cricket Ground
173,Perth Stadium
174,P Sara Oval
175,Mercantile Cricket Association Ground
176,Nondescripts Cricket Club Ground
